State_Abbrev,State,City_Lower,City,City_Population
SP,São Paulo,são paulo,São Paulo,"12,033,866"
RJ,Rio de Janeiro,rio de janeiro,Rio de Janeiro,"6,704,663"
BA,Bahia,salvador,Salvador,"2,886,775"
DF,Distrito Federal,brasília,Brasília,"3,050,336"
CE,Ceará,fortaleza,Fortaleza,"2,676,442"
MG,Minas Gerais,belo horizonte,Belo Horizonte,"2,521,998"
AM,Amazonas,manaus,Manaus,"2,252,622"
PR,Paraná,curitiba,Curitiba,"1,946,668"
PE,Pernambuco,recife,Recife,"1,672,662"
RS,Rio Grande do Sul,porto alegre,Porto Alegre,"1,452,966"
PA,Pará,belém,Belém,"1,425,953"
GO,Goiás,goiânia,Goiânia,"1,536,875"
 ,São Paulo,guarulhos,Guarulhos,"1,222,357"
SP,São Paulo,campinas,Campinas,"1,080,999"
MA,Maranhão,são luís,São Luís,"1,011,943"
AL,Alagoas,maceió,Maceió,"1,002,675"
RJ,Rio de Janeiro,são gonçalo,São Gonçalo,"999,901"
RJ,Rio de Janeiro,duque de caxias,Duque de Caxias,"872,762"
RJ,Rio de Janeiro,nova iguaçu,Nova Iguaçu,"865,089"
RN,Rio Grande do Norte,natal,Natal,"806,203"
PI,Piauí,teresina,Teresina,"802,537"
MS,Mato Grosso do Sul,campo grande,Campo Grande,"787,204"
SP,São Paulo,são bernardo do campo,São Bernardo do Campo,"765,204"
SP,São Paulo,osasco,Osasco,"730,051"
PB,Paraíba,joão pessoa,João Pessoa,"702,235"
PE,Pernambuco,jaboatão dos guararapes,Jaboatão dos Guararapes,"687,688"
SP,São Paulo,santo andré,Santo André,"683,336"
MG,Minas Gerais,uberlândia,Uberlândia,"634,345"
MG,Minas Gerais,contagem,Contagem,"625,393"
SP,São Paulo,são josé dos campos,São José dos Campos,"615,871"
BA,Bahia,feira de santana,Feira de Santana,"591,707"
SP,São Paulo,sorocaba,Sorocaba,"586,311"
SP,São Paulo,ribeirão preto,Ribeirão Preto,"563,107"
MT,Mato Grosso,cuiabá,Cuiabá,"550,562"
SE,Sergipe,aracaju,Aracaju,"544,039"
MG,Minas Gerais,juiz de fora,Juiz de Fora,"526,706"
GO,Goiás,aparecida de goiânia,Aparecida de Goiânia,"510,770"
PR,Paraná,londrina,Londrina,"510,707"
PA,Pará,ananindeua,Ananindeua,"505,512"
RJ,Rio de Janeiro,belford roxo,Belford Roxo,"501,544"
SC,Santa Catarina,joinville,Joinville,"497,331"
RJ,Rio de Janeiro,niterói,Niterói,"479,384"
RJ,Rio de Janeiro,são joão de meriti,São João de Meriti,"469,827"
MG,Minas Gerais,betim,Betim,"441,748"
RJ,Rio de Janeiro,campos dos goitacazes,Campos dos Goitacazes,"434,008"
SP,São Paulo,santos,Santos,"433,502"
SP,São Paulo,mauá,Mauá,"427,512"
SP,São Paulo,são josé do rio preto,São José do Rio Preto,"425,261"
ES,Espírito Santo,vila velha,Vila Velha,"413,548"
RS,Rio Grande do Sul,caxias do sul,Caxias do Sul,"410,166"
SC,Santa Catarina,florianópolis,Florianópolis,"408,161"
ES,Espírito Santo,serra,Serra,"404,688"
SP,São Paulo,diadema,Diadema,"401,217"
PE,Pernambuco,olinda,Olinda,"397,268"
SP,São Paulo,carapicuíba,Carapicuíba,"392,701"
PB,Paraíba,campina grande,Campina Grande,"383,764"
RO,Rondônia,porto velho,Porto Velho,"382,829"
SP,São Paulo,mogi das cruzes,Mogi das Cruzes,"375,268"
SP,São Paulo,piracicaba,Piracicaba,"368,843"
AP,Amapá,macapá,Macapá,"366,484"
ES,Espírito Santo,cariacica,Cariacica,"365,859"
MG,Minas Gerais,montes claros,Montes Claros,"363,227"
SP,São Paulo,bauru,Bauru,"359,429"
SP,São Paulo,itaquaquecetuba,Itaquaquecetuba,"359,253"
SP,São Paulo,jundiaí,Jundiaí,"349,929"
MG,Minas Gerais,ribeirão das neves,Ribeirão das Neves,"349,307"
RS,Rio Grande do Sul,pelotas,Pelotas,"345,181"
GO,Goiás,anápolis,Anápolis,"335,960"
