,Type,Time in Mins
Reading Files From Repository,Stage,0.0020670198166044427
Creating Feature 1: Total Payment Value,Step,5.156382879552742e-06
Creating Feature 2: Num Items Per Order,Step,0.0010605347333087897
Creating Feature 3: Num Categories Per Order,Step,0.0035144419496646153
Creating Feature 4: Customer Location,Step,0.000276863716620331
Creating Feature 5: Num Sellers Per Order,Step,0.002825985632565183
Creating Feature 6: Num Seller Cities Per Order,Step,0.002674792966960619
Step 1: Start processing brazilian holidays,Sub-Step,0.00017112258356064559
Step 2: Register SQl Context,Sub-Step,9.271170711144805e-07
Step 3: Prepare & Create Feature 7: Num Holidays For Customer,Sub-Step,0.004231589750270359
Step 4: Prepare & Create Feature 8: Num Holidays For Sellers,Sub-Step,0.00819141789979767
Creating Features,Stage,0.040749997149881284
Step 1: Create Final Dataset,Step,0.04238340926725262
Step 2: Train Model,Step,3.1179409811506047
Close out pipeline,Stage,0.573903743783012
